politica;ano;uf;codigo_ibge;nome_uf;indicador;valor;formato;dt_referencia;dt_geracao;arquivo_origem
PRONAF;2015;AC;12;Acre;Contratos;5501.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;AC;12;Acre;Valor total dos contratos;111004437.65;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;AC;12;Acre;Operacoes;5501.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;AL;27;Alagoas;Contratos;50340.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;AL;27;Alagoas;Valor total dos contratos;197708447.32;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;AL;27;Alagoas;Operacoes;50340.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;AM;13;Amazonas;Contratos;3382.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;AM;13;Amazonas;Valor total dos contratos;53503401.07;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;AM;13;Amazonas;Operacoes;3382.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;AP;16;Amapá;Contratos;804.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;AP;16;Amapá;Valor total dos contratos;11027156.43;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;AP;16;Amapá;Operacoes;804.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;BA;29;Bahia;Contratos;229983.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;BA;29;Bahia;Valor total dos contratos;812309278.36;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;BA;29;Bahia;Operacoes;229983.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;CE;23;Ceará;Contratos;129088.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;CE;23;Ceará;Valor total dos contratos;408822312.38;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;CE;23;Ceará;Operacoes;129088.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;DF;53;Distrito Federal;Contratos;203.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;DF;53;Distrito Federal;Valor total dos contratos;6035005.3;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;DF;53;Distrito Federal;Operacoes;203.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;ES;32;Espírito Santo;Contratos;27254.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;ES;32;Espírito Santo;Valor total dos contratos;748538282.96;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;ES;32;Espírito Santo;Operacoes;27254.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
