ano;uf;dt_referencia;dt_geracao;familias_com_ater_iniciada_no_ano;familias_com_ater_recebida_no_ano;arquivo_origem
2018;AL;2025-11-30;2025-12-12;2084;2095;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;BA;2025-11-30;2025-12-12;4468;4468;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;CE;2025-11-30;2025-12-12;6918;6920;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;DF;2025-11-30;2025-12-12;439;500;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;ES;2025-11-30;2025-12-12;1326;1327;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;GO;2025-11-30;2025-12-12;75;499;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;MA;2025-11-30;2025-12-12;2315;2687;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;MG;2025-11-30;2025-12-12;7780;7783;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;PA;2025-11-30;2025-12-12;948;949;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;PB;2025-11-30;2025-12-12;4459;4473;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;PE;2025-11-30;2025-12-12;8417;8419;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;PI;2025-11-30;2025-12-12;5275;5295;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;PR;2025-11-30;2025-12-12;525;1003;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;RN;2025-11-30;2025-12-12;4036;4046;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;RO;2025-11-30;2025-12-12;456;499;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;RS;2025-11-30;2025-12-12;2510;2510;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;SC;2025-11-30;2025-12-12;1906;1906;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;SE;2025-11-30;2025-12-12;1315;2284;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2018;TO;2025-11-30;2025-12-12;719;719;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2019;AL;2025-11-30;2025-12-12;1608;3560;ater_ano_2019_ref_2025-11-30_gerado_em_20251212192827.xlsx
2019;BA;2025-11-30;2025-12-12;2242;4489;ater_ano_2019_ref_2025-11-30_gerado_em_20251212192827.xlsx
2019;CE;2025-11-30;2025-12-12;3050;9589;ater_ano_2019_ref_2025-11-30_gerado_em_20251212192827.xlsx
2019;DF;2025-11-30;2025-12-12;0;500;ater_ano_2019_ref_2025-11-30_gerado_em_20251212192827.xlsx
2019;ES;2025-11-30;2025-12-12;214;1413;ater_ano_2019_ref_2025-11-30_gerado_em_20251212192827.xlsx
2019;GO;2025-11-30;2025-12-12;1;484;ater_ano_2019_ref_2025-11-30_gerado_em_20251212192827.xlsx
