dt_referencia;dt_geracao;ANO;cod_ibge;nome_municipio;uf;Quantidade de atendimentos_ano;familias_com_ater_recebida_no_ano;familias_com_ater_iniciada_no_ano;media_atendimentos_por_familia;ano;arquivo_origem
2025-11-30;2025-12-12;2018;1100023;ARIQUEMES-RO;RO;237.0;50;45;4.74;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1100049;CACOAL-RO;RO;295.0;50;46;5.9;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1100205;PORTO VELHO-RO;RO;94.0;50;44;1.88;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1100320;SÃO MIGUEL DO GUAPORE-RO;RO;276.0;50;50;5.52;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1100346;ALVORADA DOESTE-RO;RO;355.0;50;45;7.1;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1100502;NOVO HORIZONTE DO OESTE-RO;RO;365.0;50;48;7.3;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1100601;CACAULANDIA-RO;RO;365.0;50;46;7.3;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1101484;SÃO FELIPE DOESTE-RO;RO;331.0;50;49;6.62;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1101559;TEIXEIROPOLIS-RO;RO;127.0;49;38;2.591836734693878;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1101609;THEOBROMA-RO;RO;401.0;50;45;8.02;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1500107;ABAETETUBA-PA;PA;46.0;23;23;2.0;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1500800;ANANINDEUA-PA;PA;50.0;25;25;2.0;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1500909;AUGUSTO CORREA-PA;PA;51.0;25;25;2.04;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1500958;AURORA DO PARA-PA;PA;50.0;25;25;2.0;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1501204;BAIÃO-PA;PA;50.0;25;25;2.0;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1501303;BARCARENA-PA;PA;50.0;25;25;2.0;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1501501;BENEVIDES-PA;PA;38.0;19;19;2.0;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1501709;BRAGANÇA-PA;PA;44.0;22;21;2.0;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1501808;BREVES-PA;PA;48.0;24;24;2.0;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1502103;CAMETA-PA;PA;45.0;23;23;1.956521739130435;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1502301;CAPITÃO POÇO-PA;PA;50.0;25;25;2.0;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025-11-30;2025-12-12;2018;1502756;CONCORDIA DO PARA-PA;PA;50.0;25;25;2.0;2018;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx
