ano;uf;dt_referencia;dt_geracao;qtd_contratos_total;valor_total_contratos;qtd_operacoes_total;arquivo_origem
2015;AC;2015_12;2026_04_29;5501;111004437.65;5501;pronaf_gaia_historico_anual_2015.xlsx
2015;AL;2015_12;2026_04_29;50340;197708447.32;50340;pronaf_gaia_historico_anual_2015.xlsx
2015;AM;2015_12;2026_04_29;3382;53503401.07;3382;pronaf_gaia_historico_anual_2015.xlsx
2015;AP;2015_12;2026_04_29;804;11027156.43;804;pronaf_gaia_historico_anual_2015.xlsx
2015;BA;2015_12;2026_04_29;229983;812309278.36;229983;pronaf_gaia_historico_anual_2015.xlsx
2015;CE;2015_12;2026_04_29;129088;408822312.38;129088;pronaf_gaia_historico_anual_2015.xlsx
2015;DF;2015_12;2026_04_29;203;6035005.3;203;pronaf_gaia_historico_anual_2015.xlsx
2015;ES;2015_12;2026_04_29;27254;748538282.96;27254;pronaf_gaia_historico_anual_2015.xlsx
2015;GO;2015_12;2026_04_29;19807;573946520.44;19807;pronaf_gaia_historico_anual_2015.xlsx
2015;MA;2015_12;2026_04_29;79832;395069608.86;79832;pronaf_gaia_historico_anual_2015.xlsx
2015;MG;2015_12;2026_04_29;184482;2413797504.46;184482;pronaf_gaia_historico_anual_2015.xlsx
2015;MS;2015_12;2026_04_29;10065;241422575.15;10065;pronaf_gaia_historico_anual_2015.xlsx
2015;MT;2015_12;2026_04_29;23999;881745318.8;23999;pronaf_gaia_historico_anual_2015.xlsx
2015;PA;2015_12;2026_04_29;26094;355060393.51;26094;pronaf_gaia_historico_anual_2015.xlsx
2015;PB;2015_12;2026_04_29;68682;227214921.83;68682;pronaf_gaia_historico_anual_2015.xlsx
2015;PE;2015_12;2026_04_29;100278;384343730.7;100278;pronaf_gaia_historico_anual_2015.xlsx
2015;PI;2015_12;2026_04_29;106419;294292119.9;106419;pronaf_gaia_historico_anual_2015.xlsx
2015;PR;2015_12;2026_04_29;137956;3599730427.67;137956;pronaf_gaia_historico_anual_2015.xlsx
2015;RJ;2015_12;2026_04_29;5216;108458246.55;5216;pronaf_gaia_historico_anual_2015.xlsx
2015;RN;2015_12;2026_04_29;45194;162367855.69;45194;pronaf_gaia_historico_anual_2015.xlsx
2015;RO;2015_12;2026_04_29;24519;761346038.36;24519;pronaf_gaia_historico_anual_2015.xlsx
2015;RR;2015_12;2026_04_29;1396;42503554.06;1396;pronaf_gaia_historico_anual_2015.xlsx
2015;RS;2015_12;2026_04_29;237096;5257070714.72;237096;pronaf_gaia_historico_anual_2015.xlsx
2015;SC;2015_12;2026_04_29;100113;2378413118.69;100113;pronaf_gaia_historico_anual_2015.xlsx
2015;SE;2015_12;2026_04_29;38983;169426796.81;38983;pronaf_gaia_historico_anual_2015.xlsx
2015;SP;2015_12;2026_04_29;29766;910503051.4399999;29766;pronaf_gaia_historico_anual_2015.xlsx
2015;TO;2015_12;2026_04_29;11208;251692514.9;11208;pronaf_gaia_historico_anual_2015.xlsx
2016;AC;2016_12;2026_04_29;2714;84389623.77;2714;pronaf_gaia_historico_anual_2016.xlsx
2016;AL;2016_12;2026_04_29;30653;123406729.0;30653;pronaf_gaia_historico_anual_2016.xlsx
2016;AM;2016_12;2026_04_29;535;13262410.19;535;pronaf_gaia_historico_anual_2016.xlsx
2016;AP;2016_12;2026_04_29;140;5497633.76;140;pronaf_gaia_historico_anual_2016.xlsx
2016;BA;2016_12;2026_04_29;140515;453282424.66;140515;pronaf_gaia_historico_anual_2016.xlsx
2016;CE;2016_12;2026_04_29;75630;248657737.89;75630;pronaf_gaia_historico_anual_2016.xlsx
2016;DF;2016_12;2026_04_29;108;2755572.91;108;pronaf_gaia_historico_anual_2016.xlsx
2016;ES;2016_12;2026_04_29;17404;531251527.2;17404;pronaf_gaia_historico_anual_2016.xlsx
2016;GO;2016_12;2026_04_29;12624;413956871.71999997;12624;pronaf_gaia_historico_anual_2016.xlsx
2016;MA;2016_12;2026_04_29;53449;266546686.09;53449;pronaf_gaia_historico_anual_2016.xlsx
2016;MG;2016_12;2026_04_29;114595;1723139186.73;114595;pronaf_gaia_historico_anual_2016.xlsx
2016;MS;2016_12;2026_04_29;6067;167086088.88;6067;pronaf_gaia_historico_anual_2016.xlsx
2016;MT;2016_12;2026_04_29;15930;642296282.46;15930;pronaf_gaia_historico_anual_2016.xlsx
2016;PA;2016_12;2026_04_29;9057;152066493.15;9057;pronaf_gaia_historico_anual_2016.xlsx
2016;PB;2016_12;2026_04_29;44746;150354548.13;44746;pronaf_gaia_historico_anual_2016.xlsx
2016;PE;2016_12;2026_04_29;61310;234895169.7;61310;pronaf_gaia_historico_anual_2016.xlsx
2016;PI;2016_12;2026_04_29;67210;186264120.52;67210;pronaf_gaia_historico_anual_2016.xlsx
2016;PR;2016_12;2026_04_29;112630;3284523311.98;112630;pronaf_gaia_historico_anual_2016.xlsx
2016;RJ;2016_12;2026_04_29;3328;79132759.53999999;3328;pronaf_gaia_historico_anual_2016.xlsx
2016;RN;2016_12;2026_04_29;27275;97472575.54;27275;pronaf_gaia_historico_anual_2016.xlsx
2016;RO;2016_12;2026_04_29;16173;557843727.85;16173;pronaf_gaia_historico_anual_2016.xlsx
2016;RR;2016_12;2026_04_29;1264;39732424.22;1264;pronaf_gaia_historico_anual_2016.xlsx
2016;RS;2016_12;2026_04_29;186589;4448506084.92;186589;pronaf_gaia_historico_anual_2016.xlsx
