arquivo;subpasta;caminho;tamanho_kb
indicadores_brasil_uf.csv;consolidado;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\consolidado\indicadores_brasil_uf.csv;90.72
series_historicas_pronaf_ater_uf.csv;consolidado;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\consolidado\series_historicas_pronaf_ater_uf.csv;165.97
ater_historico_anual_uf.csv;historico;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\historico\ater_historico_anual_uf.csv;19.22
ater_historico_municipio_tratado.csv;historico;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\historico\ater_historico_municipio_tratado.csv;965.04
pronaf_historico_anual_uf.csv;historico;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\historico\pronaf_historico_anual_uf.csv;26.56
pronaf_historico_municipio_tratado.csv;historico;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\historico\pronaf_historico_municipio_tratado.csv;11295.42
estrutura_abas_colunas.csv;logs;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\logs\estrutura_abas_colunas.csv;21.49
inventario_arquivos.csv;logs;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\logs\inventario_arquivos.csv;7.09
resumo_csv_gerados.csv;logs;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\logs\resumo_csv_gerados.csv;5.56
ufs_referencia.csv;logs;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\logs\ufs_referencia.csv;0.5
ater_atual_municipio_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\ater_atual_municipio_tratado.csv;30.2
ater_atual_uf_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\ater_atual_uf_tratado.csv;1.88
caf_municipio_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\caf_municipio_tratado.csv;619.78
caf_uf_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\caf_uf_tratado.csv;2.91
garantia_safra_municipio_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\garantia_safra_municipio_tratado.csv;125.32
garantia_safra_uf_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\garantia_safra_uf_tratado.csv;0.95
mais_alimentos_municipio_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\mais_alimentos_municipio_tratado.csv;372.15
mais_alimentos_uf_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\mais_alimentos_uf_tratado.csv;2.22
pncf_municipio_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\pncf_municipio_tratado.csv;9.11
pncf_uf_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\pncf_uf_tratado.csv;1.66
pnra_municipio_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\pnra_municipio_tratado.csv;542.16
pnra_uf_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\pnra_uf_tratado.csv;2.31
pronaf_atual_municipio_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\pronaf_atual_municipio_tratado.csv;842.02
pronaf_atual_uf_tratado.csv;politicas;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\dados_intermediarios\202605\politicas\pronaf_atual_uf_tratado.csv;5.94
