uf;dt_referencia;dt_geracao;familias_com_ater_iniciada_no_ano;familias_com_ater_recebida_no_ano;arquivo_origem
AL;2026_03;20260410;143;146;ater_ate_2026_03_gerado_em_20260410151127.xlsx
AM;2026_03;20260410;0;130;ater_ate_2026_03_gerado_em_20260410151127.xlsx
AP;2026_03;20260410;396;714;ater_ate_2026_03_gerado_em_20260410151127.xlsx
BA;2026_03;20260410;141;646;ater_ate_2026_03_gerado_em_20260410151127.xlsx
CE;2026_03;20260410;1;415;ater_ate_2026_03_gerado_em_20260410151127.xlsx
DF;2026_03;20260410;287;350;ater_ate_2026_03_gerado_em_20260410151127.xlsx
ES;2026_03;20260410;120;355;ater_ate_2026_03_gerado_em_20260410151127.xlsx
GO;2026_03;20260410;322;625;ater_ate_2026_03_gerado_em_20260410151127.xlsx
MA;2026_03;20260410;269;525;ater_ate_2026_03_gerado_em_20260410151127.xlsx
MG;2026_03;20260410;580;1530;ater_ate_2026_03_gerado_em_20260410151127.xlsx
MS;2026_03;20260410;173;402;ater_ate_2026_03_gerado_em_20260410151127.xlsx
MT;2026_03;20260410;475;475;ater_ate_2026_03_gerado_em_20260410151127.xlsx
PA;2026_03;20260410;44;4085;ater_ate_2026_03_gerado_em_20260410151127.xlsx
PB;2026_03;20260410;0;143;ater_ate_2026_03_gerado_em_20260410151127.xlsx
PE;2026_03;20260410;0;268;ater_ate_2026_03_gerado_em_20260410151127.xlsx
PI;2026_03;20260410;349;520;ater_ate_2026_03_gerado_em_20260410151127.xlsx
PR;2026_03;20260410;422;495;ater_ate_2026_03_gerado_em_20260410151127.xlsx
RN;2026_03;20260410;363;683;ater_ate_2026_03_gerado_em_20260410151127.xlsx
RO;2026_03;20260410;0;187;ater_ate_2026_03_gerado_em_20260410151127.xlsx
RS;2026_03;20260410;259;1276;ater_ate_2026_03_gerado_em_20260410151127.xlsx
SC;2026_03;20260410;563;678;ater_ate_2026_03_gerado_em_20260410151127.xlsx
SE;2026_03;20260410;0;648;ater_ate_2026_03_gerado_em_20260410151127.xlsx
SP;2026_03;20260410;878;1311;ater_ate_2026_03_gerado_em_20260410151127.xlsx
TO;2026_03;20260410;0;248;ater_ate_2026_03_gerado_em_20260410151127.xlsx
