dt_referencia;dt_geracao;uf;cod_ibge_uf;cod_ibge;nome_municipio;agricultores_aderidos;agricultores_com_pagamento_liberado;pagamento_liberado;arquivo_origem
2023-2024;2026_04_13;AL;27;2700102;Água Branca;1009;1009;1210800;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2700706;Batalha;167;167;200400;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2700805;Belém;68;68;81600;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2700904;Belo Monte;272;272;326400;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2701209;Cacimbinhas;283;283;339600;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2701605;Canapi;1715;1715;2058000;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2701803;Carneiros;685;685;822000;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2702355;Craíbas;356;356;427200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2702405;Delmiro Gouveia;347;347;416400;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2702504;Dois Riachos;262;262;314400;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2702553;Estrela de Alagoas;817;0;0;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2702900;Girau do Ponciano;3190;3190;3828000;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2703106;Igaci;350;0;0;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2703205;Igreja Nova;38;38;45600;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2703304;Inhapi;836;836;1003200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2703403;Jacaré dos Homens;318;318;381600;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2703700;Jaramataia;226;226;271200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2704401;Major Isidoro;389;389;466800;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2704609;Maravilha;341;341;409200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2705002;Mata Grande;508;508;609600;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2705309;Minador do Negrão;265;265;318000;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2705408;Monteirópolis;494;494;592800;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2705705;Olho d'Água das Flores;1090;1090;1308000;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2705804;Olho d'Água do Casado;1102;1102;1322400;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2706000;Olivença;556;556;667200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2706109;Ouro Branco;780;780;936000;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2706208;Palestina;552;552;662400;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2706307;Palmeira dos Índios;587;0;0;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2706406;Pão de Açúcar;1511;1511;1813200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2706422;Pariconha;546;546;655200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2706802;Piaçabuçu;34;34;40800;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2707107;Piranhas;2075;2075;2490000;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2707206;Poço das Trincheiras;556;556;667200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2708006;Santana do Ipanema;1213;1213;1455600;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2708402;São José da Tapera;2227;2227;2672400;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2708956;Senador Rui Palmeira;803;803;963600;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AL;27;2709202;Traipu;1593;0;0;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AM;13;1301001;Carauari;143;0;0;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AM;13;1301407;Eirunepé;71;71;85200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AM;13;1301506;Envira;109;109;130800;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AM;13;1301654;Guajará;80;0;0;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AM;13;1301803;Ipixuna;59;59;70800;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AM;13;1301951;Itamarati;4;0;0;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;AM;13;1302603;Manaus;35;35;42000;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2900108;Abaíra;1101;1101;1321200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2900207;Abaré;1152;1152;1382400;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2901155;América Dourada;1536;1536;1843200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2901205;Anagé;2908;2908;3489600;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2901304;Andaraí;401;401;481200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2902005;Aracatu;1869;1869;2242800;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2902708;Barra;2423;2423;2907600;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2902807;Barra da Estiva;709;709;850800;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2903003;Barra do Mendes;2023;2023;2427600;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2903235;Barro Alto;1141;1141;1369200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2903508;Belo Campo;753;753;903600;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2903706;Boa Nova;479;479;574800;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2903805;Boa Vista do Tupim;1741;1741;2089200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2903904;Bom Jesus da Lapa;1511;1511;1813200;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2903953;Bom Jesus da Serra;1270;1270;1524000;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2904001;Boninal;1652;1652;1982400;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2904100;Boquira;2212;2212;2654400;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2904209;Botuporã;1118;1118;1341600;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2904407;Brejolândia;227;227;272400;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2904506;Brotas de Macaúbas;1067;1067;1280400;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2904605;Brumado;2150;2150;2580000;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2904753;Buritirama;494;494;592800;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2905008;Caculé;875;875;1050000;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2905156;Caetanos;1619;1619;1942800;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2905206;Caetité;2667;2667;3200400;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
2023-2024;2026_04_13;BA;29;2905305;Cafarnaum;1345;1345;1614000;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
