uf;dt_referencia;dt_geracao;agricultores_aderidos;agricultores_com_pagamento_liberado;arquivo_origem
AL;2023-2024;2026_04_13;28161;24814;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
AM;2023-2024;2026_04_13;705;274;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
BA;2023-2024;2026_04_13;333616;317522;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
CE;2023-2024;2026_04_13;176528;146296;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
MA;2023-2024;2026_04_13;2530;1362;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
MG;2023-2024;2026_04_13;41649;37207;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
PB;2023-2024;2026_04_13;70763;68846;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
PE;2023-2024;2026_04_13;119602;114080;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
PI;2023-2024;2026_04_13;73655;70255;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
RN;2023-2024;2026_04_13;37184;37166;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
SE;2023-2024;2026_04_13;15939;15799;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx
