dt_referencia;dt_geracao;uf;cod_ibge_uf;nome_municipio;cod_ibge_municipio;qtd_contratos;valor_total_contratos;arquivo_origem
2026_03;2026_04_14;AC;12;Acrelândia;1200013;8;108000.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Assis Brasil;1200054;12;165000.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Brasiléia;1200104;25;1645364.22;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Bujari;1200138;49;654484.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Capixaba;1200179;5;227000.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Cruzeiro do Sul;1200203;206;2718000.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Epitaciolândia;1200252;3;846606.6599999999;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Feijó;1200302;190;2742890.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Jordão;1200328;8;102000.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Mâncio Lima;1200336;109;1434600.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Marechal Thaumaturgo;1200351;133;1721000.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Plácido de Castro;1200385;19;257227.88;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Porto Walter;1200393;47;612000.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Rio Branco;1200401;223;2846400.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Rodrigues Alves;1200427;54;673747.02;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Senador Guiomard;1200450;31;422774.73;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Sena Madureira;1200500;100;890169.9;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Tarauacá;1200609;50;715549.14;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Xapuri;1200708;36;337000.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Porto Acre;1200807;24;295253.51;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AC;12;Sem Informação;1299999;7;421316.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Água Branca;2700102;25;73091.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Anadia;2700201;9;95750.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Arapiraca;2700300;29;147700.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Batalha;2700706;49;4340.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Belém;2700805;6;31212.6;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Belo Monte;2700904;137;289269.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Branquinha;2701100;7;58433.01;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Campo Alegre;2701407;1;250.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Campo Grande;2701506;2;10000.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Canapi;2701605;80;476650.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Capela;2701704;2;2120.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Carneiros;2701803;8;18500.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Chã Preta;2701902;3;6000.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Coité do Nóia;2702009;14;67857.95999999999;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Colônia Leopoldina;2702108;3;7030.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Coqueiro Seco;2702207;8;14000.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Coruripe;2702306;22;354400.4;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Craíbas;2702355;13;53000.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;Delmiro Gouveia;2702405;15;116750.0;mais_alimentos_gaia_202604151554.xlsx
