dt_referencia;dt_geracao;uf;cod_ibge_uf;qtd_contratos;valor_total_contratos;arquivo_origem
2026_03;2026_04_14;AC;12;1339;19836383.06;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AL;27;2127;13760879.62;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AM;13;1631;19951717.35;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;AP;16;1372;17999905.0;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;BA;29;13068;147416498.03;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;CE;23;10235;71517987.09;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;DF;53;13;452296.13;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;ES;32;3566;325146720.54;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;GO;52;251;12832096.7;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;MA;21;6396;35748894.62;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;MG;31;9036;415882383.26;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;MS;50;397;17313219.84;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;MT;51;190;14513403.65;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;PA;15;4432;61122026.86;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;PB;25;3746;26181479.25;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;PE;26;4970;41529070.92;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;PI;22;7015;34105896.93;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;PR;41;4976;539370443.71;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;RJ;33;137;12940269.02;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;RN;24;2388;18452891.52;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;RO;11;640;32903778.04;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;RR;14;263;4945745.33;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;RS;43;8893;934349947.53;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;SC;42;5527;580058120.89;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;SE;28;1405;26037294.31;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;SP;35;793;98517513.12;mais_alimentos_gaia_202604151554.xlsx
2026_03;2026_04_14;TO;17;549;10447621.62;mais_alimentos_gaia_202604151554.xlsx
