dt_referencia;dt_geracao;cod_ibge;sigla_uf;nome_uf;nome_municipio;numero_operacoes;valor_liberado;valor_medio_liberado;uf;arquivo_origem
2026_03;2026_04_10;2799999;AL;Alagoas;Não Identificado;10;2532386.0;0.0;AL;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2925758;BA;Bahia;Presidente Tancredo Neves;9;2044491.6;0.0;BA;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2925907;BA;Bahia;Quijingue;31;8491066.979999999;0.0;BA;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2300903;CE;Ceará;Apuiarés;3;725476.11;0.0;CE;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2301604;CE;Ceará;Assaré;3;794791.95;0.0;CE;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2304301;CE;Ceará;Farias Brito;10;1963000.0;0.0;CE;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2307502;CE;Ceará;Lavras da Mangabeira;1;149130.0;0.0;CE;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2308302;CE;Ceará;Milagres;1;235380.0;0.0;CE;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2309508;CE;Ceará;Orós;3;561792.0;0.0;CE;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2399999;CE;Ceará;Não Identificado;15;2198250.0;0.0;CE;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2311405;CE;Ceará;Quixeramobim;2;432844.18;0.0;CE;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2311603;CE;Ceará;Redenção;4;913960.0;0.0;CE;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;3299999;ES;Espirito Santo;Não Identificado;2;316700.0;0.0;ES;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;3200102;ES;Espirito Santo;Afonso Cláudio;1;292920.0;0.0;ES;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;3200201;ES;Espirito Santo;Alegre;1;218428.0;0.0;ES;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;5207600;GO;Goiás;Fazenda Nova;1;293500.0;0.0;GO;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;5215231;GO;Goiás;Novo Gama;10;2800000.0;0.0;GO;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2110906;MA;Maranhão;São Francisco do Maranhão;50;12498458.98;0.0;MA;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2111805;MA;Maranhão;Sítio Novo;23;4888344.609999998;0.0;MA;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2112704;MA;Maranhão;Vargem Grande;10;2349191.09;0.0;MA;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;3199999;MG;Minas Gerais;Não Identificado;1;169346.21;0.0;MG;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;3111705;MG;Minas Gerais;Canaã;1;170500.0;0.0;MG;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;3136959;MG;Minas Gerais;Juvenília;6;1679494.62;0.0;MG;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;3154457;MG;Minas Gerais;Riachinho;17;4590000.0;0.0;MG;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;4114351;PR;Paraná;Manfrinópolis;1;293500.0;0.0;PR;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;4117255;PR;Paraná;Nova Prata do Iguaçu;2;573500.0;0.0;PR;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;4119806;PR;Paraná;Planalto;1;280000.0;0.0;PR;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;4121406;PR;Paraná;Realeza;1;280000.0;0.0;PR;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;4122107;PR;Paraná;Rio Bom;2;559220.0;0.0;PR;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;4123006;PR;Paraná;Salto do Lontra;1;293500.0;0.0;PR;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;4123808;PR;Paraná;Santa Izabel do Oeste;1;293500.0;0.0;PR;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;4128658;PR;Paraná;Virmond;1;279600.0;0.0;PR;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2599999;PB;Paraíba;Não Identificado;1;67985.0;0.0;PB;pncf_2026_03_gerado_em_20260410170006.xlsx
2026_03;2026_04_10;2602803;PE;Pernambuco;Buíque;1;265680.45;0.0;PE;pncf_2026_03_gerado_em_20260410170006.xlsx
