uf;dt_referencia;dt_geracao;numero_operacoes;valor_liberado;arquivo_origem;valor_medio_liberado
AL;2026_03;2026_04_10;10;2532386.0;pncf_2026_03_gerado_em_20260410170006.xlsx;253238.6
BA;2026_03;2026_04_10;40;10535558.579999998;pncf_2026_03_gerado_em_20260410170006.xlsx;263388.96449999994
CE;2026_03;2026_04_10;42;7974624.24;pncf_2026_03_gerado_em_20260410170006.xlsx;189872.0057142857
ES;2026_03;2026_04_10;4;828048.0;pncf_2026_03_gerado_em_20260410170006.xlsx;207012.0
GO;2026_03;2026_04_10;11;3093500.0;pncf_2026_03_gerado_em_20260410170006.xlsx;281227.2727272727
MA;2026_03;2026_04_10;83;19735994.68;pncf_2026_03_gerado_em_20260410170006.xlsx;237783.06843373494
MG;2026_03;2026_04_10;25;6609340.83;pncf_2026_03_gerado_em_20260410170006.xlsx;264373.6332
PB;2026_03;2026_04_10;1;67985.0;pncf_2026_03_gerado_em_20260410170006.xlsx;67985.0
PE;2026_03;2026_04_10;32;7606049.090000002;pncf_2026_03_gerado_em_20260410170006.xlsx;237689.03406250005
PI;2026_03;2026_04_10;2;555487.94;pncf_2026_03_gerado_em_20260410170006.xlsx;277743.97
PR;2026_03;2026_04_10;10;2852820.0;pncf_2026_03_gerado_em_20260410170006.xlsx;285282.0
RO;2026_03;2026_04_10;4;1107302.8;pncf_2026_03_gerado_em_20260410170006.xlsx;276825.7
RS;2026_03;2026_04_10;50;12723403.09;pncf_2026_03_gerado_em_20260410170006.xlsx;254468.0618
SC;2026_03;2026_04_10;1;280000.0;pncf_2026_03_gerado_em_20260410170006.xlsx;280000.0
SE;2026_03;2026_04_10;25;5555950.180000002;pncf_2026_03_gerado_em_20260410170006.xlsx;222238.00720000005
SP;2026_03;2026_04_10;29;8495877.3;pncf_2026_03_gerado_em_20260410170006.xlsx;292961.2862068966
TO;2026_03;2026_04_10;48;13469965.88;pncf_2026_03_gerado_em_20260410170006.xlsx;280624.2891666667
