dt_referencia;dt_geracao;cod_ibge;nome_municipio;uf;numero_familias_pa_criado_diferenciado_pnra;numero_familias_pa_criado_tradicional_pnra;numero_familias_reconhecimento_pnra;numero_familias_regularizacao_pnra;total_numero_familias_pnra;arquivo_origem
2026 até mar;2026_04_15;1100015;Alta Floresta D'Oeste-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100023;Ariquemes-RO;RO;0.0;0.0;0.0;3.0;3.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100031;Cabixi-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100049;Cacoal-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100056;Cerejeiras-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100064;Colorado do Oeste-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100072;Corumbiara-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100080;Costa Marques-RO;RO;0.0;0.0;0.0;4.0;4.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100098;Espigão D'Oeste-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100106;Guajará-Mirim-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100114;Jaru-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100122;Ji-Paraná-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100130;Machadinho D'Oeste-RO;RO;0.0;0.0;0.0;29.0;29.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100148;Nova Brasilândia D'Oeste-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100155;Ouro Preto do Oeste-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100189;Pimenta Bueno-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100205;Porto Velho-RO;RO;0.0;0.0;0.0;20.0;20.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100254;Presidente Médici-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100262;Rio Crespo-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100288;Rolim de Moura-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100296;Santa Luzia D'Oeste-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100304;Vilhena-RO;RO;0.0;0.0;0.0;3.0;3.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100320;São Miguel do Guaporé-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100338;Nova Mamoré-RO;RO;0.0;0.0;0.0;6.0;6.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100346;Alvorada D'Oeste-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100379;Alto Alegre dos Parecis-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100403;Alto Paraíso-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100452;Buritis-RO;RO;0.0;0.0;0.0;34.0;34.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100502;Novo Horizonte do Oeste-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100601;Cacaulândia-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100700;Campo Novo de Rondônia-RO;RO;0.0;0.0;0.0;1.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1100809;Candeias do Jamari-RO;RO;0.0;0.0;0.0;14.0;14.0;PNRA_2026_2026_04_15.xlsx
