dt_referencia;dt_geracao;ANO;nome_municipio;uf;cod_ibge_municipio;cod_ibge_uf;qtd_contratos_1_Feminino;qtd_contratos_1_Masculino;qtd_contratos_1_Sem_Identificacao;valor_total_contratos_1_Feminino;valor_total_contratos_1_Masculino;valor_total_contratos_1_Sem_Identificacao;qtd_operacoes_1_Feminino;qtd_operacoes_1_Masculino;qtd_operacoes_1_Sem_Identificacao;ticket_medio_1_Feminino;ticket_medio_1_Masculino;ticket_medio_1_Sem_Identificacao;ano;qtd_contratos_total;valor_total_contratos;qtd_operacoes_total;arquivo_origem
2026_03;2026_04_14;2026;Abadia dos Dourados;MG;3100104;31;0;2;1;0.0;250000.0;50000.0;0;2;1;0.0;125000.0;50000.0;2026;3;300000.0;3;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;2026;Abadiânia;GO;5200100;52;0;3;0;0.0;117766.75;0.0;0;3;0;0.0;39255.58333333334;0.0;2026;3;117766.75;3;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;2026;Abaetetuba;PA;1500107;15;77;86;100;1474784.37;1041169.72;1754708.13;77;86;100;19153.04376623377;12106.62465116279;17547.0813;2026;263;4270662.22;263;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;2026;Abaeté;MG;3100203;31;0;4;2;0.0;504693.58;78500.0;0;4;2;0.0;126173.395;39250.0;2026;6;583193.5800000001;6;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;2026;Abaiara;CE;2300101;23;15;26;40;212000.0;270167.46;469230.36;15;26;40;14133.33333333333;10391.05615384616;11730.759;2026;81;951397.8200000001;81;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;2026;Abaré;BA;2900207;29;55;76;16;287000.0;465348.16;146000.0;55;76;16;5218.181818181818;6123.002105263158;9125.0;2026;147;898348.1599999999;147;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;2026;Abatiá;PR;4100103;41;2;23;2;53417.28;791638.49;41154.4;2;23;2;26708.64;34419.06478260869;20577.2;2026;27;886210.17;27;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;2026;Abaíra;BA;2900108;29;48;27;26;361540.0;203500.0;206000.0;48;27;26;7532.083333333333;7537.037037037037;7923.076923076923;2026;101;771040.0;101;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;2026;Abdon Batista;SC;4200051;42;1;11;4;135000.0;825800.0;421000.0;1;11;4;135000.0;75072.72727272728;105250.0;2026;16;1381800.0;16;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;2026;Abel Figueiredo;PA;1500131;15;1;1;5;89426.6;29761.83;176155.13;1;1;5;89426.6;29761.83;35231.026;2026;7;295343.56;7;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;2026;Abelardo Luz;SC;4200101;42;46;55;34;2868491.84;3332784.92;2878732.39;46;55;34;62358.51826086956;60596.08945454545;84668.59970588236;2026;135;9080009.15;135;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;2026;Abre Campo;MG;3100302;31;3;35;1;90281.39;2616044.57;130000.0;3;35;1;30093.79666666667;74744.13057142858;130000.0;2026;39;2836325.96;39;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;2026;Abreu e Lima;PE;2600054;26;6;9;2;41000.0;55000.0;20000.0;6;9;2;6833.333333333333;6111.111111111111;10000.0;2026;17;116000.0;17;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;2026;Abreulândia;TO;1700251;17;3;1;18;62917.19;96912.2;492770.94;3;1;18;20972.39666666667;96912.2;27376.16333333333;2026;22;652600.3300000001;22;pronaf_gaia_20260414.xlsx
