uf;status;inicio;fim;duracao_segundos;notebook_executado;relatorio_word;mensagem
AC;ok;2026-05-05 09:22:12;2026-05-05 09:22:32;20.4;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_AC_20260505092212.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_AC_20260505092219.docx;Relat?rio gerado com sucesso.
AL;ok;2026-05-05 09:22:32;2026-05-05 09:22:53;21.1;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_AL_20260505092232.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_AL_20260505092239.docx;Relat?rio gerado com sucesso.
AM;ok;2026-05-05 09:22:54;2026-05-05 09:23:11;17.9;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_AM_20260505092254.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_AM_20260505092300.docx;Relat?rio gerado com sucesso.
AP;ok;2026-05-05 09:23:11;2026-05-05 09:23:34;22.2;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_AP_20260505092311.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_AP_20260505092319.docx;Relat?rio gerado com sucesso.
BA;ok;2026-05-05 09:23:34;2026-05-05 09:23:56;22.5;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_BA_20260505092334.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_BA_20260505092341.docx;Relat?rio gerado com sucesso.
CE;ok;2026-05-05 09:23:56;2026-05-05 09:24:14;18.0;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_CE_20260505092356.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_CE_20260505092403.docx;Relat?rio gerado com sucesso.
DF;ok;2026-05-05 09:24:14;2026-05-05 09:24:32;17.8;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_DF_20260505092414.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_DF_20260505092420.docx;Relat?rio gerado com sucesso.
ES;ok;2026-05-05 09:24:32;2026-05-05 09:24:53;20.7;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_ES_20260505092432.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_ES_20260505092438.docx;Relat?rio gerado com sucesso.
GO;ok;2026-05-05 09:24:53;2026-05-05 09:25:13;20.1;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_GO_20260505092453.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_GO_20260505092459.docx;Relat?rio gerado com sucesso.
MA;ok;2026-05-05 09:25:13;2026-05-05 09:25:32;19.6;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_MA_20260505092513.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_MA_20260505092519.docx;Relat?rio gerado com sucesso.
MG;ok;2026-05-05 09:25:32;2026-05-05 09:25:53;20.5;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_MG_20260505092532.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_MG_20260505092539.docx;Relat?rio gerado com sucesso.
MS;ok;2026-05-05 09:25:53;2026-05-05 09:26:08;15.0;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_MS_20260505092553.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_MS_20260505092559.docx;Relat?rio gerado com sucesso.
